transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,address,postcode,state,country,property_valuation
1,2,2950,2017-02-25 00:00:00,False,Approved,Solex,Standard,medium,medium,71.49,53.62,41245,984 Hoepker Court,3064,VIC,Australia,6
11065,1,2950,2017-10-16 00:00:00,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,37659,984 Hoepker Court,3064,VIC,Australia,6
18923,62,2950,2017-04-26 00:00:00,False,Approved,Solex,Standard,medium,medium,478.16,298.72,40487,984 Hoepker Court,3064,VIC,Australia,6
2,3,3120,2017-05-21 00:00:00,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41701,4 Shopko Circle,2196,NSW,Australia,5
6862,4,3120,2017-10-05 00:00:00,False,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,40649,4 Shopko Circle,2196,NSW,Australia,5
9155,91,3120,2017-10-30 00:00:00,True,Approved,Solex,Standard,medium,medium,100.35,75.26,38002,4 Shopko Circle,2196,NSW,Australia,5
11409,95,3120,2017-01-30 00:00:00,False,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,34556,4 Shopko Circle,2196,NSW,Australia,5
13066,38,3120,2017-01-20 00:00:00,True,Approved,Solex,Standard,medium,medium,1577.53,826.51,34071,4 Shopko Circle,2196,NSW,Australia,5
15829,41,3120,2017-12-10 00:00:00,False,Approved,Solex,Road,medium,medium,416.98,312.74,41848,4 Shopko Circle,2196,NSW,Australia,5
18612,10,3120,2017-10-24 00:00:00,False,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,38216,4 Shopko Circle,2196,NSW,Australia,5
3,37,402,2017-10-16 00:00:00,False,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361,586 Miller Parkway,2835,NSW,Australia,1
1674,47,402,2017-11-04 00:00:00,True,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,38991,586 Miller Parkway,2835,NSW,Australia,1
13820,12,402,2017-09-30 00:00:00,True,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216,586 Miller Parkway,2835,NSW,Australia,1
17127,3,402,2017-01-29 00:00:00,False,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167,586 Miller Parkway,2835,NSW,Australia,1
17824,61,402,2017-05-05 00:00:00,True,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172,586 Miller Parkway,2835,NSW,Australia,1
18312,77,402,2017-10-03 00:00:00,False,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,40553,586 Miller Parkway,2835,NSW,Australia,1
4,88,3135,2017-08-31 00:00:00,False,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36145,1617 Harper Parkway,2096,NSW,Australia,10
1134,59,3135,2017-02-27 00:00:00,True,Approved,Solex,Standard,medium,large,1061.56,733.58,34170,1617 Harper Parkway,2096,NSW,Australia,10
7000,98,3135,2017-02-08 00:00:00,False,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,38002,1617 Harper Parkway,2096,NSW,Australia,10
8683,59,3135,2017-05-17 00:00:00,False,Approved,Solex,Standard,medium,large,1061.56,733.58,34170,1617 Harper Parkway,2096,NSW,Australia,10
9385,73,3135,2017-05-18 00:00:00,False,Approved,Solex,Standard,medium,medium,1945.43,333.18,37499,1617 Harper Parkway,2096,NSW,Australia,10
14352,2,3135,2017-05-31 00:00:00,False,Approved,Solex,Standard,medium,medium,71.49,53.62,41245,1617 Harper Parkway,2096,NSW,Australia,10
16342,71,3135,2017-02-13 00:00:00,True,Approved,Solex,Standard,high,large,1842.92,1105.75,34996,1617 Harper Parkway,2096,NSW,Australia,10
5,78,787,2017-10-01 00:00:00,True,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,42226,0601 Stephen Place,2292,NSW,Australia,7
1554,54,787,2017-01-24 00:00:00,True,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,37823,0601 Stephen Place,2292,NSW,Australia,7
1558,83,787,2017-06-18 00:00:00,False,Approved,Solex,Touring,medium,large,2083.94,675.03,38339,0601 Stephen Place,2292,NSW,Australia,7
3043,40,787,2017-08-08 00:00:00,True,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,39427,0601 Stephen Place,2292,NSW,Australia,7
3692,40,787,2017-06-30 00:00:00,True,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,36498,0601 Stephen Place,2292,NSW,Australia,7
3991,45,787,2017-09-10 00:00:00,True,Approved,Solex,Standard,medium,medium,441.49,84.99,35470,0601 Stephen Place,2292,NSW,Australia,7
4526,22,787,2017-02-16 00:00:00,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,33552,0601 Stephen Place,2292,NSW,Australia,7
9138,31,787,2017-10-16 00:00:00,False,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,37337,0601 Stephen Place,2292,NSW,Australia,7
13515,39,787,2017-04-01 00:00:00,True,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,40336,0601 Stephen Place,2292,NSW,Australia,7
18012,23,787,2017-05-30 00:00:00,True,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,40670,0601 Stephen Place,2292,NSW,Australia,7
6,25,2339,2017-03-08 00:00:00,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,39031,7174 Thackeray Point,2153,NSW,Australia,10
3369,60,2339,2017-05-21 00:00:00,False,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,41047,7174 Thackeray Point,2153,NSW,Australia,10
7326,53,2339,2017-12-05 00:00:00,True,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,33259,7174 Thackeray Point,2153,NSW,Australia,10
8128,90,2339,2017-02-05 00:00:00,False,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,37539,7174 Thackeray Point,2153,NSW,Australia,10
8831,16,2339,2017-11-05 00:00:00,True,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,39880,7174 Thackeray Point,2153,NSW,Australia,10
9443,68,2339,2017-12-19 00:00:00,True,Cancelled,OHM Cycles,Standard,medium,medium,1636.9,44.71,33879,7174 Thackeray Point,2153,NSW,Australia,10
9934,25,2339,2017-07-22 00:00:00,,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,33888,7174 Thackeray Point,2153,NSW,Australia,10
13760,29,2339,2017-04-04 00:00:00,False,Approved,Norco Bicycles,Road,medium,medium,543.39,407.54,34527,7174 Thackeray Point,2153,NSW,Australia,10
15991,45,2339,2017-02-06 00:00:00,True,Approved,Solex,Standard,medium,medium,441.49,84.99,38991,7174 Thackeray Point,2153,NSW,Australia,10
7,22,1542,2017-04-21 00:00:00,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165,243 Mosinee Place,2155,NSW,Australia,10
4160,69,1542,2017-08-19 00:00:00,True,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879,243 Mosinee Place,2155,NSW,Australia,10
13247,16,1542,2017-02-15 00:00:00,True,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,35378,243 Mosinee Place,2155,NSW,Australia,10
13388,28,1542,2017-07-10 00:00:00,False,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,34527,243 Mosinee Place,2155,NSW,Australia,10
17672,55,1542,2017-05-29 00:00:00,False,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,33259,243 Mosinee Place,2155,NSW,Australia,10
8,15,2459,2017-07-15 00:00:00,False,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915,975 Annamark Hill,4034,QLD,Australia,6
1406,50,2459,2017-05-13 00:00:00,True,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337,975 Annamark Hill,4034,QLD,Australia,6
3356,0,2459,2017-07-26 00:00:00,False,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38206,975 Annamark Hill,4034,QLD,Australia,6
5205,95,2459,2017-07-06 00:00:00,False,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,35455,975 Annamark Hill,4034,QLD,Australia,6
9783,30,2459,2017-07-24 00:00:00,False,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,34556,975 Annamark Hill,4034,QLD,Australia,6
9952,99,2459,2017-08-29 00:00:00,False,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,38991,975 Annamark Hill,4034,QLD,Australia,6
10292,14,2459,2017-10-10 00:00:00,True,Approved,Solex,Standard,high,large,1842.92,1105.75,34996,975 Annamark Hill,4034,QLD,Australia,6
14324,0,2459,2017-11-07 00:00:00,True,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,41064,975 Annamark Hill,4034,QLD,Australia,6
17439,0,2459,2017-04-10 00:00:00,False,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647,975 Annamark Hill,4034,QLD,Australia,6
18393,5,2459,2017-05-22 00:00:00,True,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38573,975 Annamark Hill,4034,QLD,Australia,6
18873,96,2459,2017-05-20 00:00:00,True,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434,975 Annamark Hill,4034,QLD,Australia,6
9,67,1305,2017-08-10 00:00:00,False,Approved,Solex,Standard,medium,large,1071.23,380.74,33455,3 School Place,4124,QLD,Australia,4
48,81,1305,2017-06-10 00:00:00,True,Approved,Solex,Standard,medium,medium,1151.96,649.49,41009,3 School Place,4124,QLD,Australia,4
1803,21,1305,2017-04-22 00:00:00,False,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,38693,3 School Place,4124,QLD,Australia,4
5048,0,1305,2017-02-13 00:00:00,False,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,39298,3 School Place,4124,QLD,Australia,4
9526,90,1305,2017-04-07 00:00:00,True,Approved,Solex,Standard,low,medium,945.04,507.58,40618,3 School Place,4124,QLD,Australia,4
10,12,3262,2017-08-30 00:00:00,True,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216,2558 Morningstar Center,4221,QLD,Australia,8
148,14,3262,2017-01-13 00:00:00,False,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,37838,2558 Morningstar Center,4221,QLD,Australia,8
166,78,3262,2017-11-27 00:00:00,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193,2558 Morningstar Center,4221,QLD,Australia,8
2288,84,3262,2017-03-23 00:00:00,True,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38339,2558 Morningstar Center,4221,QLD,Australia,8
6484,53,3262,2017-12-16 00:00:00,False,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35470,2558 Morningstar Center,4221,QLD,Australia,8
6607,8,3262,2017-03-15 00:00:00,True,Approved,Solex,Road,medium,small,1703.52,1516.13,40649,2558 Morningstar Center,4221,QLD,Australia,8
7021,98,3262,2017-10-11 00:00:00,False,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,38002,2558 Morningstar Center,4221,QLD,Australia,8
8352,99,3262,2017-12-29 00:00:00,True,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,34556,2558 Morningstar Center,4221,QLD,Australia,8
8910,4,3262,2017-10-14 00:00:00,False,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38573,2558 Morningstar Center,4221,QLD,Australia,8
10675,19,3262,2017-03-28 00:00:00,False,Approved,OHM Cycles,Road,high,large,12.01,7.21,39880,2558 Morningstar Center,4221,QLD,Australia,8
11,5,1986,2017-01-17 00:00:00,False,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,40784,366 International Way,2170,NSW,Australia,8
6316,79,1986,2017-08-31 00:00:00,True,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,37873,366 International Way,2170,NSW,Australia,8
14044,18,1986,2017-06-29 00:00:00,False,Approved,Solex,Standard,medium,medium,575.27,431.45,41345,366 International Way,2170,NSW,Australia,8
14374,50,1986,2017-11-16 00:00:00,True,Approved,WeareA2B,Standard,medium,small,175.89,131.92,37668,366 International Way,2170,NSW,Australia,8
18599,6,1986,2017-07-02 00:00:00,True,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,37659,366 International Way,2170,NSW,Australia,8
18624,89,1986,2017-01-15 00:00:00,True,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,34079,366 International Way,2170,NSW,Australia,8
12,61,2783,2017-01-05 00:00:00,True,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172,13392 Emmet Parkway,2171,NSW,Australia,9
843,21,2783,2017-02-11 00:00:00,True,Approved,Solex,Standard,medium,large,1071.23,380.74,42404,13392 Emmet Parkway,2171,NSW,Australia,9
2623,56,2783,2017-06-21 00:00:00,True,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,40779,13392 Emmet Parkway,2171,NSW,Australia,9
5392,86,2783,2017-07-06 00:00:00,False,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,36367,13392 Emmet Parkway,2171,NSW,Australia,9
9505,95,2783,2017-10-18 00:00:00,False,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,33364,13392 Emmet Parkway,2171,NSW,Australia,9
9828,42,2783,2017-04-03 00:00:00,True,Approved,OHM Cycles,Road,medium,small,1810,1610.9,37668,13392 Emmet Parkway,2171,NSW,Australia,9
13573,80,2783,2017-10-02 00:00:00,True,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,41533,13392 Emmet Parkway,2171,NSW,Australia,9
13985,67,2783,2017-09-16 00:00:00,False,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,42710,13392 Emmet Parkway,2171,NSW,Australia,9
15508,51,2783,2017-01-14 00:00:00,True,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,39915,13392 Emmet Parkway,2171,NSW,Australia,9
16819,99,2783,2017-10-18 00:00:00,False,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,34556,13392 Emmet Parkway,2171,NSW,Australia,9
18818,6,2783,2017-03-16 00:00:00,True,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,33549,13392 Emmet Parkway,2171,NSW,Australia,9
13,35,1243,2017-02-26 00:00:00,True,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527,2 Eliot Lane,2155,NSW,Australia,11
5047,40,1243,2017-10-21 00:00:00,True,Cancelled,OHM Cycles,Standard,high,medium,1458.17,874.9,38750,2 Eliot Lane,2155,NSW,Australia,11
5804,67,1243,2017-01-24 00:00:00,True,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647,2 Eliot Lane,2155,NSW,Australia,11
8468,5,1243,2017-01-18 00:00:00,True,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,40784,2 Eliot Lane,2155,NSW,Australia,11
11800,98,1243,2017-02-15 00:00:00,False,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,38002,2 Eliot Lane,2155,NSW,Australia,11
12261,11,1243,2017-04-21 00:00:00,True,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,39298,2 Eliot Lane,2155,NSW,Australia,11
12646,14,1243,2017-04-08 00:00:00,True,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,37838,2 Eliot Lane,2155,NSW,Australia,11
14841,16,1243,2017-06-14 00:00:00,False,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34586,2 Eliot Lane,2155,NSW,Australia,11
19002,25,1243,2017-02-08 00:00:00,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404,2 Eliot Lane,2155,NSW,Australia,11
19850,44,1243,2017-03-02 00:00:00,False,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672,2 Eliot Lane,2155,NSW,Australia,11
14,16,2717,2017-09-10 00:00:00,False,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34586,6994 Hanson Place,2580,NSW,Australia,5
2942,51,2717,2017-07-04 00:00:00,True,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,41009,6994 Hanson Place,2580,NSW,Australia,5
3595,10,2717,2017-03-11 00:00:00,True,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,41701,6994 Hanson Place,2580,NSW,Australia,5
5681,32,2717,2017-11-19 00:00:00,True,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337,6994 Hanson Place,2580,NSW,Australia,5
6206,84,2717,2017-06-13 00:00:00,True,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38339,6994 Hanson Place,2580,NSW,Australia,5
6853,86,2717,2017-07-12 00:00:00,,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38206,6994 Hanson Place,2580,NSW,Australia,5
8511,56,2717,2017-02-28 00:00:00,True,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,35707,6994 Hanson Place,2580,NSW,Australia,5
9404,66,2717,2017-07-12 00:00:00,False,Approved,Giant Bicycles,Road,low,small,590.26,525.33,40487,6994 Hanson Place,2580,NSW,Australia,5
11732,96,2717,2017-11-16 00:00:00,False,Approved,WeareA2B,Road,low,small,1172.78,1043.77,37539,6994 Hanson Place,2580,NSW,Australia,5
16877,57,2717,2017-01-07 00:00:00,False,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,33259,6994 Hanson Place,2580,NSW,Australia,5
15,12,247,2017-06-11 00:00:00,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193,2 2nd Plaza,2283,NSW,Australia,4
883,38,247,2017-09-09 00:00:00,False,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37659,2 2nd Plaza,2283,NSW,Australia,4
